Gene Map Search - '(Search in: Entries with: Phenotype, Chromosomes: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, X, Y, Autosomal)'
Downloaded:	November 7th, 2025
Copyright (c) 1966-2025 Johns Hopkins University OMIM, data are provided for research purposes only.

Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotype	Phenotype MIM number	Inheritance	Pheno map key	Mouse Gene (from MGI)
7q21.13	7:90245174-90323723	CFAP69, C7orf63, SPGF24	Cilia- and flagella-associated protein 69	617949	CFAP69	79846	ENSG00000105792,ENST00000389297;;;ENST00000389297		Spermatogenic failure 24	617959	AR	3	Cfap69
7q21.2	7:91940862-92110673	AKAP9, YOTIAO, AKAP450, LQT11	A-kinase anchor protein 9	604001	AKAP9	10142	ENSG00000127914,ENST00000356239;;;ENST00000356239	mutation identified in 1 LQT11 family	?Long QT syndrome 11	611820	AD	3	Akap9
7q21.2	7:92198969-92246100	KRIT1, CCM1, CAM	KRIT1 ankyrin repeat-containing protein 1	604214	KRIT1	889	ENSG00000001631,ENST00000394505;;;ENST00000394505		Cavernous malformations of CNS and retina	116860	AD	3	Krit1
7q21.2	7:92198969-92246100	KRIT1, CCM1, CAM	KRIT1 ankyrin repeat-containing protein 1	604214	KRIT1	889	ENSG00000001631,ENST00000394505;;;ENST00000394505		Cerebral cavernous malformations-1	116860	AD	3	Krit1
7q21.2	7:92198969-92246100	KRIT1, CCM1, CAM	KRIT1 ankyrin repeat-containing protein 1	604214	KRIT1	889	ENSG00000001631,ENST00000394505;;;ENST00000394505		Hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations	116860	AD	3	Krit1
7q21.2	7:92447482-92495769	GATAD1, ODAG, CMD2B	GATA zinc finger domain-containing protein 1	614518	GATAD1	57798	ENSG00000157259,ENST00000287957;;;ENST00000287957	mutation identified in 1 GATAD1 family	?Cardiomyopathy, dilated, 2B	614672	AR	3	Gatad1
7q21.2	7:92487025-92528520	PEX1, ZWS1, PBD1A, PBD1B, HMLR1	Peroxisome biogenesis factor-1	602136	PEX1	5189	ENSG00000127980,ENST00000248633;;;ENST00000248633		Heimler syndrome 1	234580	AR	3	Pex1
7q21.2	7:92487025-92528520	PEX1, ZWS1, PBD1A, PBD1B, HMLR1	Peroxisome biogenesis factor-1	602136	PEX1	5189	ENSG00000127980,ENST00000248633;;;ENST00000248633		Peroxisome biogenesis disorder 1A (Zellweger)	214100	AR	3	Pex1
7q21.2	7:92487025-92528520	PEX1, ZWS1, PBD1A, PBD1B, HMLR1	Peroxisome biogenesis factor-1	602136	PEX1	5189	ENSG00000127980,ENST00000248633;;;ENST00000248633		Peroxisome biogenesis disorder 1B (NALD/IRD)	601539	AR	3	Pex1
7q21.2	7:92604921-92836573	CDK6, PLSTIRE, MCPH12	Cyclin-dependent kinase 6	603368	CDK6	1021	ENSG00000105810,ENST00000424848;;;ENST00000424848	mutation identified in 1 MCPH12 family	?Microcephaly 12, primary, autosomal recessive	616080	AR	3	Cdk6
7q21.2	7:93099518-93117979	SAMD9, NFTC, MIRAGE, M7MLS2	Sterile alpha motif domain-containing protein 9	610456	SAMD9	54809	ENSG00000205413,ENST00000379958;;;ENST00000379958		MIRAGE syndrome	617053	AD	3	
7q21.2	7:93099518-93117979	SAMD9, NFTC, MIRAGE, M7MLS2	Sterile alpha motif domain-containing protein 9	610456	SAMD9	54809	ENSG00000205413,ENST00000379958;;;ENST00000379958		Monosomy 7 myelodysplasia and leukemia syndrome 2	619041	AD	3	
7q21.2	7:93099518-93117979	SAMD9, NFTC, MIRAGE, M7MLS2	Sterile alpha motif domain-containing protein 9	610456	SAMD9	54809	ENSG00000205413,ENST00000379958;;;ENST00000379958		Tumoral calcinosis, familial, normophosphatemic	610455	AR	3	
7q21.2	7:93130056-93148385	SAMD9L, ATXPC, M7MLS1, SCA49	Sterile alpha motif domain-containing 9-like	611170	SAMD9L	219285	ENSG00000177409,ENST00000318238;;;ENST00000318238	mutation identified in 1 SCA49 family	?Spinocerebellar ataxia 49	619806	AD	3	Samd9l
7q21.2	7:93130056-93148385	SAMD9L, ATXPC, M7MLS1, SCA49	Sterile alpha motif domain-containing 9-like	611170	SAMD9L	219285	ENSG00000177409,ENST00000318238;;;ENST00000318238	mutation identified in 1 SCA49 family	Ataxia-pancytopenia syndrome	159550	AD	3	Samd9l
