Gene Map Search - '(Search in: Entries with: Phenotype, Chromosomes: Autosomal, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, X, Y)'
Downloaded:	November 7th, 2025
Copyright (c) 1966-2025 Johns Hopkins University OMIM, data are provided for research purposes only.

Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotype	Phenotype MIM number	Inheritance	Pheno map key	Mouse Gene (from MGI)
17q23.3	17:63432304-63446639	CYB561, ORTHYP2	Cytochrome b-561	600019	CYB561	1534	ENSG00000008283,ENST00000360793;;;ENST00000360793		Orthostatic hypotension 2	618182	AR	3	Cyb561
17q23.3	17:63477061-63498373	ACE, DCP1, ACE1, MVCD3, ICH	Angiotensin I converting enzyme (dipeptidyl carboxypeptidase-1)	106180	ACE	1636	ENSG00000159640,ENST00000290866;;;ENST00000290866		[Angiotensin I-converting enzyme, benign serum increase]			3	Ace
17q23.3	17:63477061-63498373	ACE, DCP1, ACE1, MVCD3, ICH	Angiotensin I converting enzyme (dipeptidyl carboxypeptidase-1)	106180	ACE	1636	ENSG00000159640,ENST00000290866;;;ENST00000290866		{Microvascular complications of diabetes 3}	612624		3	Ace
17q23.3	17:63477061-63498373	ACE, DCP1, ACE1, MVCD3, ICH	Angiotensin I converting enzyme (dipeptidyl carboxypeptidase-1)	106180	ACE	1636	ENSG00000159640,ENST00000290866;;;ENST00000290866		{Myocardial infarction, susceptibility to}			3	Ace
17q23.3	17:63477061-63498373	ACE, DCP1, ACE1, MVCD3, ICH	Angiotensin I converting enzyme (dipeptidyl carboxypeptidase-1)	106180	ACE	1636	ENSG00000159640,ENST00000290866;;;ENST00000290866		{SARS, progression of}			3	Ace
17q23.3	17:63477061-63498373	ACE, DCP1, ACE1, MVCD3, ICH	Angiotensin I converting enzyme (dipeptidyl carboxypeptidase-1)	106180	ACE	1636	ENSG00000159640,ENST00000290866;;;ENST00000290866		{Stroke, hemorrhagic}	614519		3	Ace
17q23.3	17:63477061-63498373	ACE, DCP1, ACE1, MVCD3, ICH	Angiotensin I converting enzyme (dipeptidyl carboxypeptidase-1)	106180	ACE	1636	ENSG00000159640,ENST00000290866;;;ENST00000290866		Renal tubular dysgenesis	267430	AR	3	Ace
17q23.3	17:63600895-63608365	TACO1, CCDC44, MC4DN8	Translational activator of mitochondrially encoded cytochrome c oxidase subunit I	612958	TACO1	51204	ENSG00000136463,ENST00000258975;;;ENST00000258975		Mitochondrial complex IV deficiency, nuclear type 8	619052	AR	3	Taco1
17q23.3	17:63622417-63696305	MAP3K3, MEKK3, MAPKKK3, CCM5	Mitogen-activated kinase kinase kinase 3	602539	MAP3K3	4215	ENSG00000198909,ENST00000361733;;;ENST00000361733		Cerebral cavernous malformations 5	621032	SMu	3	Map3k3
17q23.3	17:63702832-63741986	STRADA, STRAD, LYK5	STE20-related kinase adaptor alpha	608626	STRADA	92335	ENSG00000266173,ENST00000336174;;;ENST00000336174		Polyhydramnios, megalencephaly, and symptomatic epilepsy	611087	AR	3	Strada
17q23.3	17:63745255-63773597	CCDC47, THNS	Coiled-coil domain-containing protein 47	618260	CCDC47	57003	ENSG00000108588,ENST00000225726;;;ENST00000225726		Trichohepatoneurodevelopmental syndrome	618268	AR	3	Ccdc47
17q23.3	17:63832081-63842685	SMARCD2, BAF60B, SGD2	SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily d, member 2	601736	SMARCD2	6603	ENSG00000108604,ENST00000448276;;;ENST00000448276		Specific granule deficiency 2	617475	AR	3	Smarcd2
17q23.3	17:63894918-63896574	CSH1, CSA, PL	Chorionic somatomammotropin hormone-1	150200	CSH1	1442	ENSG00000136488,ENST00000316193;;;ENST00000316193		[Placental lactogen deficiency]			1	Gh
17q23.3	17:63917203-63918839	GH1, GHN, IGHD1A, IGHD1B, IGHD2	Growth hormone-1	139250	GH1	2688	ENSG00000259384,ENST00000323322;;;ENST00000323322	5'-GH1-CSHP1-CSH1-GH2-CSH2-3'	Growth hormone deficiency, isolated, type IA	262400	AR	3	Gh
17q23.3	17:63917203-63918839	GH1, GHN, IGHD1A, IGHD1B, IGHD2	Growth hormone-1	139250	GH1	2688	ENSG00000259384,ENST00000323322;;;ENST00000323322	5'-GH1-CSHP1-CSH1-GH2-CSH2-3'	Growth hormone deficiency, isolated, type IB	612781		3	Gh
17q23.3	17:63917203-63918839	GH1, GHN, IGHD1A, IGHD1B, IGHD2	Growth hormone-1	139250	GH1	2688	ENSG00000259384,ENST00000323322;;;ENST00000323322	5'-GH1-CSHP1-CSH1-GH2-CSH2-3'	Growth hormone deficiency, isolated, type II	173100	AD	3	Gh
17q23.3	17:63917203-63918839	GH1, GHN, IGHD1A, IGHD1B, IGHD2	Growth hormone-1	139250	GH1	2688	ENSG00000259384,ENST00000323322;;;ENST00000323322	5'-GH1-CSHP1-CSH1-GH2-CSH2-3'	Kowarski syndrome	262650	AR	3	Gh
17q23.3	17:63928740-63932331	CD79B, IGB, B29, AGM6	CD79B antigen	147245	CD79B	974	ENSG00000007312,ENST00000006750;;;ENST00000006750		Agammaglobulinemia 6	612692	AR	3	Cd79b
17q23.3	17:63938554-63972918	SCN4A, HYPP, NAC1A, HOKPP2, CMS16, CMYO22A	Sodium voltage-gated channel, alpha subunit 4	603967	SCN4A	6329	ENSG00000007314,ENST00000435607;;;ENST00000435607	21.5kb from GH1	Congenital myopathy 22A, classic	620351	AR	3	Scn4a
17q23.3	17:63938554-63972918	SCN4A, HYPP, NAC1A, HOKPP2, CMS16, CMYO22A	Sodium voltage-gated channel, alpha subunit 4	603967	SCN4A	6329	ENSG00000007314,ENST00000435607;;;ENST00000435607	21.5kb from GH1	Congenital myopathy 22B, severe fetal	620369	AR	3	Scn4a
17q23.3	17:63938554-63972918	SCN4A, HYPP, NAC1A, HOKPP2, CMS16, CMYO22A	Sodium voltage-gated channel, alpha subunit 4	603967	SCN4A	6329	ENSG00000007314,ENST00000435607;;;ENST00000435607	21.5kb from GH1	Hyperkalemic periodic paralysis	170500	AD	3	Scn4a
17q23.3	17:63938554-63972918	SCN4A, HYPP, NAC1A, HOKPP2, CMS16, CMYO22A	Sodium voltage-gated channel, alpha subunit 4	603967	SCN4A	6329	ENSG00000007314,ENST00000435607;;;ENST00000435607	21.5kb from GH1	Hypokalemic periodic paralysis, type 2	613345	AD	3	Scn4a
17q23.3	17:63938554-63972918	SCN4A, HYPP, NAC1A, HOKPP2, CMS16, CMYO22A	Sodium voltage-gated channel, alpha subunit 4	603967	SCN4A	6329	ENSG00000007314,ENST00000435607;;;ENST00000435607	21.5kb from GH1	Myasthenic syndrome, congenital, 16	614198	AR	3	Scn4a
17q23.3	17:63938554-63972918	SCN4A, HYPP, NAC1A, HOKPP2, CMS16, CMYO22A	Sodium voltage-gated channel, alpha subunit 4	603967	SCN4A	6329	ENSG00000007314,ENST00000435607;;;ENST00000435607	21.5kb from GH1	Myotonia congenita, atypical, acetazolamide-responsive	608390	AD	3	Scn4a
17q23.3	17:63938554-63972918	SCN4A, HYPP, NAC1A, HOKPP2, CMS16, CMYO22A	Sodium voltage-gated channel, alpha subunit 4	603967	SCN4A	6329	ENSG00000007314,ENST00000435607;;;ENST00000435607	21.5kb from GH1	Paramyotonia congenita	168300	AD	3	Scn4a
17q23.3	17:64477785-64497054	POLG2, POLGB, PEOA4, MTDPS16A, MTDPS16B	Polymerase, DNA, gamma-2	604983	POLG2	11232	ENSG00000256525,ENST00000539111;;;ENST00000539111	mutation identified in 1 MTDPS16A patient and 1 MTDPS16B patient	?Mitochondrial DNA depletion syndrome 16 (hepatic type)	618528	AR	3	Polg2
17q23.3	17:64477785-64497054	POLG2, POLGB, PEOA4, MTDPS16A, MTDPS16B	Polymerase, DNA, gamma-2	604983	POLG2	11232	ENSG00000256525,ENST00000539111;;;ENST00000539111	mutation identified in 1 MTDPS16A patient and 1 MTDPS16B patient	?Mitochondrial DNA depletion syndrome 16B (neuroophthalmic type)	619425	AR	3	Polg2
17q23.3	17:64477785-64497054	POLG2, POLGB, PEOA4, MTDPS16A, MTDPS16B	Polymerase, DNA, gamma-2	604983	POLG2	11232	ENSG00000256525,ENST00000539111;;;ENST00000539111	mutation identified in 1 MTDPS16A patient and 1 MTDPS16B patient	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 4	610131	AD	3	Polg2
17q24	17:64600001-72900000	CTRCT7, CCA1	Cataract 7	115660		878			Cataract 7	115660	AD	2	
17q24.1	17:65137370-65227703	RGS9, PERRS1	Regulator of G protein signaling 9	604067	RGS9	8787	ENSG00000108370,ENST00000262406;;;ENST00000262406		Prolonged electroretinal response suppression 1	608415	AR	3	Rgs9
17q24.1	17:65528563-65561648	AXIN2, ODCRCS	Axis inhibitor 2 (conductin, mouse, homolog of)	604025	AXIN2	8313	ENSG00000168646,ENST00000307078;;;ENST00000307078		Colorectal cancer, somatic	114500		3	Axin2
17q24.1	17:65528563-65561648	AXIN2, ODCRCS	Axis inhibitor 2 (conductin, mouse, homolog of)	604025	AXIN2	8313	ENSG00000168646,ENST00000307078;;;ENST00000307078		Oligodontia-colorectal cancer syndrome	608615	AD	3	Axin2
17q24.1	17:65635537-66192133	CEP112, CCDC46, MACOCO, SPGF44	Centrosomal protein, 112kD	618980	CEP112	201134	ENSG00000154240,ENST00000535342;;;ENST00000535342		Spermatogenic failure 44	619044	AR	3	Cep112
17q24.2-q24.3	17:66200001-72900000	HTGH, DEL17q24	Hypertrichosis terminalis, generalized, with or without gingival hyperplasia (chromosome 17q24 microdeletion syndrome)	135400					Hypertrichosis terminalis, generalized, with or without gingival hyperplasia	135400	AR	4	
17q24.2	17:66302613-66810743	PRKCA, PKCA	Protein kinase C, alpha polypeptide	176960	PRKCA	5578	ENSG00000154229,ENST00000413366;;;ENST00000413366	cen-COL1A1-PKCA-GH1	Pituitary tumor, invasive			3	Prkca
17q24.2	17:67337916-67366577	PSMD12, P55, STISS	Proteasome 26S subunit, non-ATPase, 12	604450	PSMD12	5718	ENSG00000197170,ENST00000356126;;;ENST00000356126		Stankiewicz-Isidor syndrome	617516	AD	3	Psmd12
17q24.2	17:67825503-67984378	BPTF, FALZ, FAC1, NURF301, NEDDFL	Bromodomain PHD finger transcription factor	601819	BPTF	2186	ENSG00000171634,ENST00000306378;;;ENST00000306378		{Kaposi sarcoma, susceptibility to}	148000	AD	3	Bptf
17q24.2	17:67825503-67984378	BPTF, FALZ, FAC1, NURF301, NEDDFL	Bromodomain PHD finger transcription factor	601819	BPTF	2186	ENSG00000171634,ENST00000306378;;;ENST00000306378		Neurodevelopmental disorder with dysmorphic facies and distal limb anomalies	617755	AD	3	Bptf
17q24.2	17:68259170-68452019	ARSG, KIAA1001, USH4	Arylsulfatase G	610008	ARSG	22901	ENSG00000141337,ENST00000621439;;;ENST00000621439		Usher syndrome, type IV	618144	AR	3	Arsg
17q24.2	17:68413623-68551316	PRKAR1A, TSE1, CNC1, CAR, PPNAD1, ACRDYS1	Protein kinase, cAMP-dependent, regulatory, type I, alpha	188830	PRKAR1A	5573	ENSG00000108946,ENST00000589228;;;ENST00000589228	fused with RET to form PTC2	Acrodysostosis 1, with or without hormone resistance	101800	AD	3	Prkar1a
