Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotype	Phenotype MIM number	Inheritance	Pheno map key	Mouse Gene (from MGI)
1p36	1:1-27600000	ALPQTL2	Alkaline phosphatase, plasma level of, QTL 2	612367		100196914		linkage with rs1780324	{Alkaline phosphatase, plasma level of, QTL 2}	612367		2	
1p	1:1-123400001	ANON1	Anorexia nervosa, susceptibility to, 1	606788		171514			{Anorexia nervosa, susceptibility to, 1}	606788		2	
1p36	1:1-27600000	BCC1	Basal cell carcinoma, susceptibility to, 1	605462		100307118		associated with rs7538876	{Basal cell carcinoma, susceptibility to, 1}	605462		2	
1p36	1:1-27600000	BMND3	Bone mineral density QTL 3	606928		246259		?another locus at 3p21	[Bone mineral density QTL 3]	606928		2	
1p36.33	1:1-2300000	C1DUPp36.33, DUP1p36.33	Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster	618815					Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster	618815	AD	4	
1p36	1:1-27600000	CMM, MLM, DNS	Cutaneous malignant melanoma/dysplastic nevus	155600		1243		some linkage studies negative; see 9p	{Melanoma, cutaneous malignant, 1}	155600	AD	2	
1pter-p36.13	1:1-20100000	CTRCT8, CCV	Cataract, congenital, Volkmann type	115665		7792		linked to Rh in Scottish family	Cataract 8, multiple types	115665	AD	2	
1p36	1:1-27600000	DEL1p36, C1DELp36	Chromosome 1p36 deletion syndrome, distal	607872				contiguous gene deletion syndrome	Chromosome 1p36 deletion syndrome, distal	607872	IC	4	
1p36	1:1-27600000	DEL1p36, C1DELp36	Chromosome 1p36 deletion syndrome, proximal	619343					Chromosome 1p36 deletion syndrome, proximal	619343	AD	4	
1p36-p34	1:1-46300000	DYX8	Dyslexia, susceptibility to, 8	608995		406874		between D1S552 and D1S1622	{Dyslexia, susceptibility to, 8}	608995	AD, Mu	2	
1p36	1:1-27600000	IBD7	Inflammatory bowel disease 7	605225		57042		associated with rs6426833	{Inflammatory bowel disease 7}	605225		2	
1p36	1:1-27600000	MS4	Multiple sclerosis, susceptibility to, 4	612596		100271696		associated with rs10492972	{Multiple sclerosis, susceptibility to, 4}	612596		2	
1p36	1:1-27600000	MYP14	Myopia 14	610320		100359407		between D1S552 and D1S1622	Myopia 14	610320	AD	2	
1p	1:1-123400001	PSORS7	Psoriasis susceptibility 7	605606					{Psoriasis susceptibility 7}	605606		2	
1p36.33	1:1013497-1014540	ISG15, G1P2, IFI15, IMD38	ISG15 ubiquitin-like modifier	147571	ISG15	9636	ENSG00000187608,ENST00000649529;;;ENST00000649529		Immunodeficiency 38	616126	AR	3	Isg15
1p36.33	1:1020120-1056116	AGRN, CMS8	Agrin	103320	AGRN	375790	ENSG00000188157,ENST00000379370;;;ENST00000379370		Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects	615120	AR	3	Agrn
1p36.33	1:1211340-1214153	TNFRSF4, TXGP1L, OX40, ACT35, IMD16	Tumor necrosis factor receptor superfamily, member 4	600315	TNFRSF4	7293	ENSG00000186827,ENST00000379236;;;ENST00000379236	mutation identified in 1 IMD16 family	?Immunodeficiency 16	615593	AR	3	Tnfrsf4
1p36.33	1:1232237-1235041	B3GALT6, SEMDJL1, EDSSPD2, ALGAZ	UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6	615291	B3GALT6	126792	ENSG00000176022,ENST00000379198;;;ENST00000379198		Al-Gazali syndrome	609465	AR	3	B3galt6
1p36.33	1:1232237-1235041	B3GALT6, SEMDJL1, EDSSPD2, ALGAZ	UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6	615291	B3GALT6	126792	ENSG00000176022,ENST00000379198;;;ENST00000379198		Ehlers-Danlos syndrome, spondylodysplastic type, 2	615349	AR	3	B3galt6
1p36.33	1:1232237-1235041	B3GALT6, SEMDJL1, EDSSPD2, ALGAZ	UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6	615291	B3GALT6	126792	ENSG00000176022,ENST00000379198;;;ENST00000379198		Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures	271640	AR	3	B3galt6
1p36.33	1:1311600-1324660	INTS11, PSF3L, RC68, NEDMLOB	Integrator complex subunit 11	611354	INTS11	54973	ENSG00000127054,ENST00000435064;;;ENST00000435064		Neurodevelopmental disorder with motor and language delay, ocular defects, and brain abnormalities	620428	AR	3	Ints11
1p36.33	1:1335278-1349418	DVL1, DRS2	Dishevelled segment polarity protein 1	601365	DVL1	1855	ENSG00000107404,ENST00000378888;;;ENST00000378888		Robinow syndrome, autosomal dominant 2	616331	AD	3	Dvl1
1p36.33	1:1435690-1442882	VWA1, WARP, HMNR7	von Willebrand factor A domain-containing protein 1	611901	VWA1	64856	ENSG00000179403,ENST00000476993;;;ENST00000476993		Neuronopathy, distal hereditary motor, autosomal recessive 7	619216	AR	3	Vwa1
1p36.33	1:1512162-1534685	ATAD3A, HAYOS, PHRINL	ATPase family, AAA domain-containing, member 3A	612316	ATAD3A	55210	ENSG00000197785,ENST00000378756;;;ENST00000378756		Harel-Yoon syndrome	617183	AD, AR	3	Atad3a
1p36.33	1:1512162-1534685	ATAD3A, HAYOS, PHRINL	ATPase family, AAA domain-containing, member 3A	612316	ATAD3A	55210	ENSG00000197785,ENST00000378756;;;ENST00000378756		Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal	618810	AR	3	Atad3a
1p36.33	1:1534778-1540624	TMEM240, C1orf70, SCA21	Transmembrane protein 240	616101	TMEM240	339453	ENSG00000205090,ENST00000378733;;;ENST00000378733		Spinocerebellar ataxia 21	607454	AD	3	Tmem240
1p36.33	1:1785286-1891087	GNB1, MRD42, MDS	Guanine nucleotide-binding protein, beta polypeptide-1	139380	GNB1	2782	ENSG00000078369,ENST00000378609;;;ENST00000378609		Intellectual developmental disorder, autosomal dominant 42	616973	AD	3	Gnb1
1p36.33	1:1785286-1891087	GNB1, MRD42, MDS	Guanine nucleotide-binding protein, beta polypeptide-1	139380	GNB1	2782	ENSG00000078369,ENST00000378609;;;ENST00000378609		Leukemia, acute lymphoblastic, somatic	613065		3	Gnb1
1p36.33	1:1785286-1891087	GNB1, MRD42, MDS	Guanine nucleotide-binding protein, beta polypeptide-1	139380	GNB1	2782	ENSG00000078369,ENST00000378609;;;ENST00000378609		Myelodysplastic syndrome, somatic	614286		3	Gnb1
1p36.33	1:1921957-2003786	CFAP74, KIAA1751, C1orf222, CILD49	Cilia- and flagella-associated protein 74	620187	CFAP74	85452	ENSG00000142609,ENST00000682832;;;ENST00000682832		Ciliary dyskinesia, primary, 49, without situs inversus	620197	AR	3	Cfap74
1p36.33	1:2019345-2030758	GABRD, GEFSP5	Gamma-aminobutyric acid (GABA) A receptor, delta	137163	GABRD	2563	ENSG00000187730,ENST00000378585;;;ENST00000378585	mutation identified in 1 GEFSP5 family	{?Generalized epilepsy with febrile seizures plus, type 5, susceptibility to}	613060	AD	3	Gabrd
1p36.33-p36.32	1:2228319-2310213	SKI, SGS	SKI protooncogene	164780	SKI	6497	ENSG00000157933,ENST00000378536;;;ENST00000378536	formerly mapped to 1q22-q24	Shprintzen-Goldberg syndrome	182212	AD	3	Ski
1p36.32-p36.13	1:2300001-20100000	DYT13	Dystonia 13, torsion	607671		93983			Dystonia 13, torsion	607671	AD	2	
